,Concurso,Data Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Time Coração,Ganhadores 7 acertos,Cidade / UF,Rateio 7 acertos,Ganhadores 6 acertos,Rateio 6 acertos,Ganhadores 5 acertos,Rateio 5 acertos,Ganhadores 4 acertos,Rateio 4 acertos,Ganhadores 3 acertos,Rateio 3 acertos,Ganhadores Time Coração,Rateio Time Coração,Acumulado 7 acertos,Arrecadação Total,Estimativa Prêmio,Observação
1196,1210,26/07/2018,7,12,31,56,61,65,79,CRB/AL,0,,"R$0,00",4,"R$17.006,68",114,"R$852,46",2099,"R$6,00",20107,"R$2,00",4847,"R$5,00","R$1.774.179,33","R$1.223.800,00","R$1.900.000,00",
1197,1211,28/07/2018,1,4,16,36,39,44,62,U BARBARENSE,0,,"R$0,00",5,"R$15.080,24",119,"R$905,17",2437,"R$6,00",23002,"R$2,00",2944,"R$5,00","R$1.962.682,38","R$1.334.622,00","R$2.100.000,00",
1198,1212,31/07/2018,2,13,26,37,51,72,73,CRUZEIRO/MG,0,,"R$0,00",4,"R$15.519,03",117,"R$757,95",2243,"R$6,00",21962,"R$2,00",14853,"R$5,00","R$2.117.872,67","R$1.250.104,00","R$2.300.000,00",
1199,1213,02/08/2018,10,20,40,41,51,70,75,IPATINGA/MG,0,,"R$0,00",3,"R$24.973,35",117,"R$914,77",2451,"R$6,00",20140,"R$2,00",6160,"R$5,00","R$2.305.172,78","R$1.349.846,00","R$2.500.000,00",
1200,1214,04/08/2018,10,13,19,23,33,61,68,PAULISTA/SP,0,,"R$0,00",2,"R$37.773,32",189,"R$571,02",3332,"R$6,00",30029,"R$2,00",3052,"R$5,00","R$2.672.024,73","R$1.380.280,00","R$2.800.000,00",
1201,1215,07/08/2018,15,23,37,43,57,66,67,RIVER/PI,0,,"R$0,00",4,"R$17.775,36",131,"R$775,37",2360,"R$6,00",22506,"R$2,00",5678,"R$5,00","R$2.849.778,36","R$1.294.412,00","R$3.000.000,00",
1202,1216,09/08/2018,15,16,22,36,50,71,79,FLUMINENSE/RJ,0,,"R$0,00",1,"R$69.516,36",85,"R$1.168,34",1982,"R$6,00",21169,"R$2,00",15079,"R$5,00","R$3.023.569,25","R$1.361.240,00","R$3.150.000,00",
1203,1217,11/08/2018,4,12,31,56,61,69,80,VILA NOVA/GO,0,,"R$0,00",3,"R$31.864,49",221,"R$617,92",3446,"R$6,00",31183,"R$2,00",7674,"R$5,00","R$3.262.552,96","R$1.748.310,00","R$3.450.000,00",
1204,1218,14/08/2018,29,39,42,60,68,71,72,UBERLÂNDIA/MG,0,,"R$0,00",5,"R$17.465,31",102,"R$1.223,06",2181,"R$6,00",23188,"R$2,00",4983,"R$5,00","R$3.480.869,24","R$1.539.430,00","R$3.700.000,00",
1205,1219,16/08/2018,1,3,22,34,38,48,62,PAYSANDU/PA,0,,"R$0,00",4,"R$22.390,76",114,"R$1.122,34",2772,"R$6,00",27099,"R$2,00",6393,"R$5,00","R$3.911.327,31","R$1.614.198,00","R$4.100.000,00",
1206,1220,18/08/2018,10,18,35,46,56,69,73,OLARIA/RJ,0,,"R$0,00",1,"R$100.189,25",149,"R$960,58",3013,"R$6,00",30509,"R$2,00",5907,"R$5,00","R$4.161.800,43","R$1.791.888,00","R$4.350.000,00",
1207,1221,21/08/2018,12,19,47,48,58,67,70,OLARIA/RJ,0,,"R$0,00",0,"R$0,00",156,"R$867,95",3166,"R$6,00",29845,"R$2,00",5420,"R$5,00","R$4.493.534,33","R$1.701.726,00","R$4.600.000,00",
1208,1222,23/08/2018,14,17,36,37,42,46,52,RORAIMA/RR,0,,"R$0,00",1,"R$96.413,35",140,"R$983,80",2987,"R$6,00",29499,"R$2,00",5482,"R$5,00","R$4.734.567,70","R$1.723.906,00","R$4.900.000,00",
1209,1223,25/08/2018,13,15,38,40,48,68,69,AMÉRICA/MG,0,,"R$0,00",2,"R$46.877,95",130,"R$1.030,28",2783,"R$6,00",28874,"R$2,00",8535,"R$5,00","R$4.968.957,47","R$1.710.448,00","R$5.100.000,00",
