,Concurso,Jogo 1,Jogo 2,Jogo 3,Jogo 4,Jogo 5,Jogo 6,Jogo 7,Jogo 8,Jogo 9,Jogo 10,Jogo 11,Jogo 12,Jogo 13,Jogo 14,Ganhadores 14 Acertos,Cidade / UF, Rateio 14 Acertos,Ganhadores 13 Acertos,Rateio 13 Acertos,Acumulado 14 Acertos,Arrecadacao Total,Estimativa Prêmio,Observação
51,52,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,8,"MG; 
MS; 
PR; 
RJ; 
RS; 
SC; 
SP","R$26.326,14",266,"R$225,37",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 ACERTOS)para o  próximo concurso R$200.000,00.Apuração prevista para 24/02/2003 (segunda-feira) às 12 horas."
52,53,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,1,MG,"R$247.667,35",37,"R$1.912,49",Não,"R$0,00","R$0,00","ESTIMATIVA DE PRÊMIO PARA O PRÓXIMO CONCURSO (14 ACERTOS): R$ 250.000,00."
53,54,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,2,"MA; 
SC","R$80.322,85",39,"R$1.176,89",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 ACERTOS) próximo concurso: R$200.000,00."
54,55,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,22,"CE; 
GO; 
MG; 
PR; 
RJ; 
RN; 
RO; 
SC; 
SE; 
SP; 
TO","R$7.247,87",863,"R$52,59",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 ACERTOS) próximo concurso: R$220.000,00."
55,56,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,0,,"R$0,00",20,"R$2.832,33",Sim,"R$0,00","R$0,00","Estimativa de prêmio líquido(14 ACERTOS) para o próximo concurso: R$400.000,00.  Apuração prevista para 24/03/2003 (2ªfeira) às 12 horas."
56,57,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,878,"AC; 
AL; 
AM; 
AP; 
BA; 
CE; 
DF; 
ES; 
GO; 
MA; 
MG; 
MS; 
MT; 
PA; 
PB; 
PE; 
PI; 
PR; 
RJ; 
RN; 
RO; 
RS; 
SC; 
SE; 
SP; 
TO","R$508,84",12693,"R$5,61",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 ACERTOS) próximo concurso: R$200.000,00."
57,58,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,0,,"R$0,00",0,"R$0,00",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (14 acertos) para o próximo concurso: R$ 500.000,00."
58,59,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,0,,"R$0,00",6,"R$11.822,35",Sim,"R$0,00","R$0,00","ACUMULOU!!!  ESTIMATIVA DE PRÊMIO (14 ACERTOS) PARA O PRÓXIMO CONCURSO: R$ 800.000,00."
59,60,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,67,"AL; 
AM; 
BA; 
CE; 
ES; 
GO; 
MG; 
PA; 
PB; 
PI; 
PR; 
RJ; 
RN; 
RS; 
SC; 
SP","R$12.439,17",1399,"R$65,35",Não,"R$0,00","R$0,00","ESTIMATIVA DE PRÊMIO PARA O PRÓXIMO CONCURSO (14 ACERTOS): R$ 200.000,00."
60,61,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,5,"MG; 
PR; 
RS; 
SP","R$37.022,54",88,"R$598,74",Não,"R$0,00","R$0,00","Estimativa de prêmio para o próximo concurso (14 ACERTOS): R$200.000,00."
61,62,Coluna do meio,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,0,,"R$0,00",13,"R$4.524,43",Sim,"R$0,00","R$0,00","Estimativa de Prêmio líquido (14 ACERTOS) para o próximo concurso: R$500.000,00."
62,63,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,2,"MG; 
SP","R$231.876,32",112,"R$655,40",Não,"R$0,00","R$0,00","ESTIMATIVA DE PRÊMIO PARA O PRÓXIMO CONCURSO (14 ACERTOS): R$ 230.000,00."
63,64,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,3,"MG; 
RJ","R$76.842,62",74,"R$890,07",Não,"R$0,00","R$0,00","ESTIMATIVA DE PRÊMIO PARA O PRÓXIMO CONCURSO: R$ 200.000,00."
64,65,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,3,SP,"R$78.885,55",86,"R$783,26",Não,"R$0,00","R$0,00","Prêmio líquido (14 ACERTOS)previsto para o próximo concurso: R$220.000,00. Apuração prevista para 26/05/2003 (segunda-feira) às 12 horas."
65,66,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,1,GO,"R$223.300,33",86,"R$739,05",Não,"R$0,00","R$0,00","Estimativa de prêmio líquido (14 ACERTOS) para o próximo concurso: R$220.000,00. Apuração prevista para 02/06/2003 (segunda-feira) às 12 horas."
66,67,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,29,"AL; 
BA; 
CE; 
DF; 
GO; 
MG; 
MT; 
PE; 
PI; 
PR; 
RJ; 
RS; 
SP","R$9.511,28",2167,"R$36,24",Não,"R$0,00","R$0,00","Prêmio líquido (14 ACERTOS) para este concurso: R$275.827,12. Apuração prevista para 02/06/2003 (segunda-feira) às 12 horas."
67,68,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,0,,"R$0,00",3,"R$24.742,62",Sim,"R$0,00","R$0,00","ACUMULOU!!! ESTIMATIVA DE PRÊMIO PARA O PRÓXIMO CONCURSO (14 ACERTOS): R$ 600.000,00."
68,69,Coluna 2,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 2,Coluna 2,Coluna 2,0,,"R$0,00",0,"R$0,00",Sim,"R$0,00","R$0,00","ACUMULOU!!! ESTIMATIVA DE PRÊMIO PARA O PRÓXIMO CONCURSO (14 ACERTOS): R$ 1.000.000,00."
69,70,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 2,194,"AC; 
AL; 
AM; 
BA; 
CE; 
DF; 
ES; 
GO; 
MA; 
MG; 
MS; 
MT; 
PA; 
PB; 
PE; 
PI; 
PR; 
RJ; 
RN; 
RS; 
SC; 
SP","R$5.380,13",3490,"R$33,67",Não,"R$0,00","R$0,00","ESTIMATIVA DE PRÊMIO PARA O PRÓXIMO CONCURSO (14 ACERTOS): R$ 250.000,00."
70,71,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,2,"AL; 
SP","R$122.345,07",88,"R$791,44",Não,"R$0,00","R$0,00","ESTIMATIVA DE PRÊMIO PARA O PRÓXIMO CONCURSO (14 ACERTOS): R$ 250.000,00."
71,72,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 1,1,SP,"R$260.119,07",67,"R$1.109,25",Não,"R$0,00","R$0,00","ESTIMATIVA DE PRÊMIO PARA O PRÓXIMO CONCURSO (14 ACERTOS): R$ 265.000,00."
72,73,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,0,,"R$0,00",5,"R$14.022,15",Sim,"R$0,00","R$0,00","ACUMULOU!!! ESTIMATIVA DE PRÊMIO PARA O PRÓXIMO CONCURSO (14 ACERTOS): R$ 530.000,00."
73,74,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,789,"AC; 
AL; 
AM; 
AP; 
BA; 
CE; 
DF; 
ES; 
GO; 
MA; 
MG; 
MS; 
MT; 
PA; 
PB; 
PE; 
PI; 
PR; 
RJ; 
RN; 
RO; 
RS; 
SC; 
SE; 
SP; 
TO","R$703,65",11410,"R$7,79",Não,"R$0,00","R$0,00","ESTIMATIVA PRÊMIO 14 ACERTOS) PARA PRÓXIMO CONCURSO: R$265.000,00."
74,75,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,0,,"R$0,00",15,"R$4.781,65",Sim,"R$0,00","R$0,00","ACUMULOU!!!! Estimativa de prêmio para o próximo concurso (14 acertos): R$ 600.000,00."
75,76,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,1,SP,"R$590.477,98",7,"R$13.854,76",Não,"R$0,00","R$0,00","ESTIMATIVA DE PRÊMIO PARA O PRÓXIMO CONCURSO (14 ACERTOS): R$ 250.000,00."
76,77,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,0,,"R$0,00",8,"R$9.149,17",Sim,"R$0,00","R$0,00","ACUMULOU!!! ESTIMATIVA DE PRÊMIO PARA O PRÓXIMO CONCURSO (14 ACERTOS): R$ 600.000,00."
77,78,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 2,0,,"R$0,00",4,"R$22.668,45",Sim,"R$0,00","R$0,00","LOTECA ACUMULADA!!! Estimativa de prêmio (14 ACERTOS) para o próximo concurso: R$1.000.000,00. Apuração prevista para 25/08/2003 (segunda-feira) às 12 horas."
78,79,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,838,"AC; 
AL; 
AM; 
AP; 
BA; 
CE; 
DF; 
ES; 
GO; 
MA; 
MG; 
MS; 
MT; 
PA; 
PB; 
PE; 
PI; 
PR; 
RJ; 
RN; 
RO; 
RS; 
SC; 
SE; 
SP; 
TO","R$1.209,02",13357,"R$9,38",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso: R$ 250.000,00."
79,80,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 2,0,,"R$0,00",24,"R$3.487,30",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio para o próximo concurso (14 acertos): R$ 700.000,00."
80,81,Coluna 2,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,0,,"R$0,00",2,"R$32.554,91",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio para o próximo concurso (14 acertos): R$ 900.000,00."
81,82,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,45,"CE; 
DF; 
GO; 
MA; 
MG; 
MT; 
PA; 
PR; 
RJ; 
RN; 
RS; 
SC; 
SP","R$20.244,19",2017,"R$55,06",Não,"R$0,00","R$0,00","ESTIMATIVA DE PRÊMIO PARA O PRÓXIMO CONCURSO (14 ACERTOS): R$ 250.000,00."
82,83,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,0,,"R$0,00",37,"R$2.192,22",Sim,"R$0,00","R$0,00","ACUMULOU!!! ESTIMATIVA DE PRÊMIO PARA O PRÓXIMO CONCURSO (14 ACERTOS): R$ 600.000,00."
83,84,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,100,"BA; 
CE; 
DF; 
GO; 
MA; 
MG; 
PA; 
PB; 
PE; 
PR; 
RJ; 
RN; 
RO; 
RS; 
SC; 
SP; 
TO","R$6.206,72",2451,"R$39,12",Não,"R$0,00","R$0,00","ESTIMATIVA DE PRÊMIO PARA O PRÓXIMO CONCURSO (14 ACERTOS): R$ 300.000,00."
84,85,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,0,,"R$0,00",12,"R$6.225,80",Sim,"R$0,00","R$0,00","ACUMULOU!!! ESTIMATIVA DE PRÊMIO PARA O PRÓXIMO CONCURSO (14 ACERTOS): R$ 600.000,00."
85,86,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna do meio,0,,"R$0,00",5,"R$14.742,70",Sim,"R$0,00","R$0,00","LOTECA ACUMULADA!! ESTIMATIVA DE PRÊMIO LÍQÜIDO (14 ACERTOS) PARA O PRÓXIMO CONCURSO: R$800.000,00."
86,87,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,6,"GO; 
MG; 
RS; 
SP","R$150.665,66",225,"R$486,42",Não,"R$0,00","R$0,00","Estimativa de prêmio para o próximo concurso (14 ACERTOS): R$300.000,00."
87,88,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,0,,"R$0,00",5,"R$15.219,26",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio para o próximo concurso (14 acertos): R$ 600.000,00."
88,89,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,4,"PR; 
RJ; 
SP","R$139.429,25",116,"R$714,97",Não,"R$0,00","R$0,00","ESTIMATIVA DE PRÊMIO PARA O PRÓXIMO CONCURSO (14 ACERTOS): R$ 250.000,00."
89,90,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,7,"CE; 
PE; 
PR; 
RS; 
SP","R$34.046,44",264,"R$192,72",Não,"R$0,00","R$0,00","Estimativa de prêmio para o próximo concurso (14 acertos): R$ 300.000,00."
90,91,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,84,"AL; 
AM; 
BA; 
CE; 
DF; 
ES; 
GO; 
MA; 
MG; 
MS; 
MT; 
PA; 
PB; 
PE; 
PR; 
RJ; 
RR; 
RS; 
SC; 
SP; 
TO","R$3.045,98",2536,"R$21,54",Não,"R$0,00","R$0,00","Estimativa de prêmio para o próximo concurso (14 acertos): R$ 300.000,00."
91,92,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,45,"BA; 
DF; 
GO; 
MG; 
MS; 
PA; 
PR; 
RJ; 
RO; 
RS; 
SP","R$4.347,25",1068,"R$39,11",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 ACERTOS) próximo concurso: R$250.000,00."
92,93,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,0,,"R$0,00",1,"R$37.036,88",Sim,"R$0,00","R$0,00","LOTECA ACUMULOU!!! Estimativa de prêmio para o próximo concurso (14 acertos): R$ 400.000,00."
93,94,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,14,"AM; 
BA; 
MG; 
PR; 
RS; 
SC; 
SP","R$28.668,25",640,"R$76,22",Não,"R$0,00","R$0,00","Estimativa de prêmio para o próximo concurso (14 acertos): R$ 500.000,00 (QUINHENTOS MIL REAIS)."
94,95,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,0,,"R$0,00",6,"R$4.036,32",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio para o próximo concurso (14 acertos):  R$ 550.000,00 (QUINHENTOS E CINQÜENTA MIL REAIS). Os jogos deste concurso são da Copa São Paulo de Juniores."
95,96,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna 2,Coluna 2,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,7,"AL; 
GO; 
SP","R$70.817,72",412,"R$77,15",Não,"R$0,00","R$0,00","Estimativa de prêmio para o próximo concurso (14 acertos): R$ 200.000,00 (DUZENTOS MIL REAIS)."
96,97,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,2,"MG; 
RJ","R$96.923,35",144,"R$287,37",Não,"R$0,00","R$0,00","Estimativa de prêmio para o próximo concurso (14 acertos): R$ 250.000,00 (DUZENTOS E CINQÜENTA MIL REAIS)."
97,98,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna 2,Coluna 2,Coluna 2,Coluna do meio,Coluna do meio,0,,"R$0,00",45,"R$697,79",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio para o próximo concurso (14 acertos): R$ 350.000,00 (TREZENTOS E CINQÜENTA MIL REAIS). Conforme  Circular CAIXA nº 301 publicada no DOU em 03/11/2003, para o jogo 07 foi considerado válido o resultado observado no momento da suspensão da partida em virtude da chuva no local de sua realização."
98,99,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 2,3,"MG; 
SP","R$113.175,01",72,"R$570,54",Não,"R$0,00","R$0,00","Estimativa de prêmio para o próximo concurso (14 acertos): R$ 400.000,00 (QUATROCENTOS MIL REAIS)."
99,100,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,1,GO,"R$361.557,26",48,"R$853,31",Não,"R$0,00","R$0,00","Estimativa de prêmio para o próximo concurso (14 acertos): R$200.000,00 (DUZENTOS MIL REAIS)."
100,101,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,2887,"AC; 
AL; 
AM; 
AP; 
BA; 
CE; 
DF; 
ES; 
GO; 
MA; 
MG; 
MS; 
MT; 
PA; 
PB; 
PE; 
PI; 
PR; 
RJ; 
RN; 
RO; 
RR; 
RS; 
SC; 
SE; 
SP; 
TO","R$71,80",33721,"R$1,32",Não,"R$0,00","R$0,00","Estimativa de prêmio para o próximo concurso (14 acertos): R$ 200.000,00."
101,102,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,18,"AM; 
DF; 
MG; 
PA; 
PB; 
PR; 
RO; 
SP","R$9.356,48",553,"R$65,02",Não,"R$0,00","R$0,00","Estimativa de prêmio para o próximo concurso (14 acertos): R$ 200.000,00."
102,103,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 2,13,"GO; 
MT; 
PA; 
PE; 
PR; 
SP","R$15.712,18",611,"R$71,37",Não,"R$0,00","R$0,00","Estimativa de prêmio para o próximo concurso (14 acertos): R$ 200.000,00 (DUZENTOS MIL REAIS)."
103,104,Coluna 2,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 2,1,PR,"R$193.950,31",98,"R$422,48",Não,"R$0,00","R$0,00","Estimativa de prêmio para o próximo concurso (14 acertos): R$400.000,00 (QUATROCENTOS MIL REAIS)."
104,105,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,315,"AC; 
AL; 
AM; 
BA; 
CE; 
DF; 
ES; 
GO; 
MA; 
MG; 
MS; 
MT; 
PA; 
PB; 
PE; 
PI; 
PR; 
RJ; 
RN; 
RO; 
RS; 
SC; 
SE; 
SP; 
TO","R$1.410,14",6363,"R$7,96",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 ACERTOS) próximo concurso: R$200.000,00."
105,106,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,18,"MT; 
PA; 
PE; 
PR; 
RJ; 
SP","R$11.150,23",991,"R$43,24",Não,"R$0,00","R$0,00","Estimativa de prêmio para o próximo concurso (14 acertos): R$ 200.000,00."
106,107,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,0,,"R$0,00",17,"R$2.433,94",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (14 ACERTOS) próximo concurso: R$450.000,00."
107,108,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,141,"AL; 
AM; 
BA; 
CE; 
DF; 
GO; 
MA; 
MG; 
MS; 
MT; 
PA; 
PB; 
PE; 
PR; 
RJ; 
RN; 
RO; 
RS; 
SC; 
SE; 
SP; 
TO","R$2.409,94",2160,"R$14,51",Não,"R$0,00","R$0,00","Estimativa de prêmio para o próximo concurso (14 acertos): R$200.000,00."
108,109,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,1,SP,"R$142.165,71",18,"R$1.692,45",Não,"R$0,00","R$0,00","Estimativa de prêmio para o próximo concurso (14 acertos): R$400.000,00."
109,110,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,0,,"R$0,00",3,"R$14.316,82",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (14 ACERTOS) próximo concurso: R$600.000,00."
110,111,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,27,"BA; 
CE; 
MG; 
PA; 
PR; 
RJ; 
SP","R$22.585,46",670,"R$67,63",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 ACERTOS) próximo concurso: R$180.000,00."
111,112,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,0,,"R$0,00",20,"R$2.160,50",Sim,"R$0,00","R$0,00",ACUMULOU!!! Estimativa de prêmio (14 ACERTOS) próximo concurso: R$450.000.00.Apuração prevista para 17/05/2004 (segunda-feira) às 12:00 hs.
