,Concurso,Data Sorteio,Bola1 sorteio 1,Bola2 sorteio 1,Bola3 sorteio 1,Bola4 Sorteio 1,Bola5 sorteio 1,Bola6 sorteio 1,Ganhadores 6 acertos  Sorteio 1,Cidade / UF,Rateio 6 acertos  Sorteio1,Ganhadores 5   acertos Sorteio1,Rateio 5 acertos Sorteio1,Ganhadores 4 acertos Sorteio1,Rateio 4 acertos Sorteio1,Ganhadores 3 acertos Sorteio1,Rateio 3 acertos Sorteio1,Bola1 sorteio 2,Bola2 sorteio 2,Bola3 sorteio 2,Bola4 Sorteio 2,Bola5 sorteio 2,Bola6 sorteio 2,Ganhadores 6 acertos Sorteio2,Rateio 6 acertos  Sorteio 2,Ganhadores 5 acertos Sorteio2,Rateio 5 acertos Sorteio 2,Ganhadores 4 acertos Sorteio2,Rateio 4 acertos Sorteio 2,Ganhadores 3 acertos Sorteio2,Rateio 3 acertos Sorteio 2, Acumulado 6 acertos sorteio 1,Arrecadacao Total,Estimativa Prêmio,Acumulado Sorteio Especial Dupla de Páscoa,Observação
1302,1303,01/08/2014,2,12,15,22,30,43,0,,"R$0,00",24,"R$5.189,84",1898,"R$62,49",0,"R$0,00",11,22,29,35,36,48,0,"R$0,00",53,"R$2.350,11",2387,"R$49,69",0,"R$0,00",Sim,"R$2.694.849,00","R$1.500.000,00","R$0,00",
1303,1304,05/08/2014,7,27,38,41,42,49,0,,"R$0,00",30,"R$4.217,54",2292,"R$52,57",0,"R$0,00",1,5,12,16,31,33,1,"R$168.701,55",42,"R$3.012,53",2568,"R$46,92",0,"R$0,00",Sim,"R$2.737.471,00","R$1.800.000,00","R$0,00",A APOSTA GANHADORA DA SENA DO SEGUNDO SORTEIO FOI REALIZADA EM INDAIAL/SC.
1304,1305,08/08/2014,9,23,28,31,32,41,0,,"R$0,00",44,"R$3.073,70",2020,"R$63,76",0,"R$0,00",6,9,19,28,38,45,0,"R$0,00",47,"R$2.877,51",2700,"R$47,70",0,"R$0,00",Sim,"R$2.926.063,00","R$2.300.000,00","R$0,00",
1305,1306,12/08/2014,2,11,13,19,39,49,0,,"R$0,00",54,"R$2.486,05",2721,"R$46,98",0,"R$0,00",16,17,19,24,31,46,0,"R$0,00",39,"R$3.442,22",2534,"R$50,45",0,"R$0,00",Sim,"R$2.904.508,00","R$2.700.000,00","R$0,00",
1306,1307,15/08/2014,4,22,35,36,40,48,0,,"R$0,00",50,"R$2.749,19",3173,"R$41,25",0,"R$0,00",9,22,28,34,44,45,0,"R$0,00",33,"R$4.165,45",2547,"R$51,39",0,"R$0,00",Sim,"R$2.974.022,00","R$3.100.000,00","R$0,00",
1307,1308,19/08/2014,6,10,18,24,30,32,0,,"R$0,00",40,"R$3.875,02",2895,"R$50,99",0,"R$0,00",11,15,30,36,41,42,0,"R$0,00",48,"R$3.229,18",2488,"R$59,33",0,"R$0,00",Sim,"R$3.353.536,00","R$3.700.000,00","R$0,00",
1308,1309,22/08/2014,7,9,14,20,26,40,0,,"R$0,00",47,"R$3.670,62",3226,"R$50,93",0,"R$0,00",4,14,20,25,31,44,0,"R$0,00",65,"R$2.654,15",3490,"R$47,07",0,"R$0,00",Sim,"R$3.732.558,00","R$4.400.000,00","R$0,00",
1309,1310,26/08/2014,2,3,19,25,29,33,2,"BELO HORIZONTE/MG; 
FAZENDA RIO GRANDE/PR","R$2.126.136,18",81,"R$2.034,74",3788,"R$41,43",0,"R$0,00",4,7,11,25,27,44,0,"R$0,00",87,"R$1.894,42",4525,"R$34,68",0,"R$0,00",Não,"R$3.565.860,00","R$400.000,00","R$0,00","O PRÊMIO DA SENA DO 2º SORTEIO (R$ 219.752,52) FICA ACUMULADO PARA A SENA DO 1º SORTEIO DO PRÓXIMO CONCURSO."
1310,1311,29/08/2014,1,4,15,31,38,42,0,,"R$0,00",14,"R$6.343,23",1299,"R$65,10",0,"R$0,00",15,20,23,33,36,39,0,"R$0,00",37,"R$2.400,14",1581,"R$53,49",0,"R$0,00",Sim,"R$1.921.354,00","R$750.000,00","R$0,00",
1311,1312,02/09/2014,6,33,43,46,48,50,0,,"R$0,00",21,"R$4.778,39",1693,"R$56,44",0,"R$0,00",6,19,21,24,38,45,0,"R$0,00",88,"R$1.628,99",2812,"R$33,98",0,"R$0,00",Sim,"R$2.171.049,00","R$1.200.000,00","R$0,00",
1312,1313,05/09/2014,4,17,19,25,29,42,0,,"R$0,00",55,"R$2.117,44",2772,"R$40,01",0,"R$0,00",2,3,12,23,25,27,0,"R$0,00",46,"R$2.531,72",2734,"R$40,56",0,"R$0,00",Sim,"R$2.519.664,00","R$1.500.000,00","R$0,00",
1313,1314,09/09/2014,13,16,24,25,41,49,0,PRESIDENTE EPITÁCIO/SP,"R$0,00",34,"R$3.396,90",2292,"R$47,99",0,"R$0,00",8,25,29,36,39,47,1,"R$153.992,72",25,"R$4.619,78",2116,"R$51,98",0,"R$0,00",Sim,"R$2.498.795,00","R$1.800.000,00","R$0,00",A APOSTA GANHADORA DA SENA DO SEGUNDO SORTEIO FOI REALIZADA EM PRESIDENTE EPITÁCIO/SP.
1314,1315,12/09/2014,3,4,8,13,40,45,0,,"R$0,00",38,"R$3.551,55",2613,"R$49,18",0,"R$0,00",2,6,9,18,28,29,0,"R$0,00",53,"R$2.546,39",2668,"R$48,17",0,"R$0,00",Sim,"R$2.919.914,00","R$2.400.000,00","R$0,00",
1315,1316,16/09/2014,2,14,29,35,49,50,1,"CAMPINAS/SP; 
CRUZEIRO/SP","R$2.186.164,99",39,"R$3.421,28",2557,"R$49,69",0,"R$0,00",4,9,13,26,28,35,1,"R$177.906,63",64,"R$2.084,84",3407,"R$37,29",0,"R$0,00",Não,"R$2.886.839,00","R$200.000,00","R$0,00",A APOSTA GANHADORA DA SENA DO 2º SORTEIO FOI REALIZADA NA CIDADE DE CAMPINAS/SP.
1316,1317,19/09/2014,3,12,14,29,42,49,0,,"R$0,00",34,"R$2.733,78",1877,"R$47,16",0,"R$0,00",20,21,22,29,42,46,0,"R$0,00",32,"R$2.904,65",1195,"R$74,07",0,"R$0,00",Sim,"R$2.011.000,00","R$600.000,00","R$0,00",
1317,1318,23/09/2014,3,9,18,38,46,47,0,,"R$0,00",29,"R$3.468,81",1784,"R$53,70",0,"R$0,00",8,27,35,38,46,50,0,"R$0,00",26,"R$3.869,06",1670,"R$57,36",0,"R$0,00",Sim,"R$2.176.445,00","R$900.000,00","R$0,00",
1318,1319,26/09/2014,5,11,21,24,42,45,0,,"R$0,00",34,"R$2.994,77",2450,"R$39,58",0,"R$0,00",8,16,21,27,30,34,0,"R$0,00",39,"R$2.610,82",1653,"R$58,66",0,"R$0,00",Sim,"R$2.202.984,00","R$1.200.000,00","R$0,00",
1319,1320,30/09/2014,6,23,24,35,41,43,0,,"R$0,00",19,"R$6.022,59",2124,"R$51,30",0,"R$0,00",4,11,13,29,47,50,0,"R$0,00",40,"R$2.860,74",2729,"R$39,93",0,"R$0,00",Sim,"R$2.475.748,00","R$1.700.000,00","R$0,00",
1320,1321,03/10/2014,6,10,32,39,43,47,0,,"R$0,00",41,"R$3.292,70",2232,"R$57,60",0,"R$0,00",11,21,25,26,27,29,0,"R$0,00",36,"R$3.750,02",2365,"R$54,36",0,"R$0,00",Sim,"R$2.920.822,00","R$2.200.000,00","R$0,00",
1321,1322,07/10/2014,2,31,41,42,47,50,0,GUAÇUÍ/ES,"R$0,00",38,"R$3.752,21",2404,"R$56,48",0,"R$0,00",16,21,24,29,43,46,1,"R$190.112,06",77,"R$1.851,74",2941,"R$46,17",0,"R$0,00",Sim,"R$3.084.893,00","R$2.500.000,00","R$0,00",A APOSTA GANHADORA DA SENA DO SEGUNDO SORTEIO FOI REALIZADA EM GUAÇUÍ/ES.
1322,1323,10/10/2014,4,5,9,28,29,41,0,,"R$0,00",60,"R$2.385,28",2756,"R$49,45",0,"R$0,00",12,34,35,42,44,48,0,"R$0,00",30,"R$4.770,56",2601,"R$52,40",0,"R$0,00",Sim,"R$3.096.419,00","R$3.000.000,00","R$0,00",
1323,1324,14/10/2014,9,10,15,23,26,33,0,,"R$0,00",48,"R$3.234,28",2684,"R$55,08",0,"R$0,00",22,27,31,33,37,38,0,"R$0,00",43,"R$3.610,36",2467,"R$59,93",0,"R$0,00",Sim,"R$3.358.832,00","R$3.500.000,00","R$0,00",
1324,1325,17/10/2014,4,6,9,25,39,45,1,"SÃO PAULO/SP; 
SÃO PAULO/SP","R$3.408.478,72",60,"R$2.606,52",3342,"R$44,56",0,"R$0,00",5,10,12,16,42,48,1,"R$208.521,58",69,"R$2.266,54",3315,"R$44,93",0,"R$0,00",Não,"R$3.383.619,00","R$200.000,00","R$0,00",
1325,1326,21/10/2014,7,9,15,20,26,33,0,,"R$0,00",55,"R$1.630,09",2523,"R$33,84",0,"R$0,00",3,9,11,18,22,40,0,"R$0,00",37,"R$2.423,11",1784,"R$47,86",0,"R$0,00",Sim,"R$1.939.741,00","R$550.000,00","R$0,00",
1326,1327,24/10/2014,19,24,30,33,41,50,0,,"R$0,00",29,"R$3.313,38",1618,"R$56,55",0,"R$0,00",8,14,35,41,44,47,0,"R$0,00",26,"R$3.695,69",1965,"R$46,57",0,"R$0,00",Sim,"R$2.078.919,00","R$850.000,00","R$0,00",
1327,1328,28/10/2014,3,5,16,36,45,46,1,SALVADOR/BA,"R$827.469,37",23,"R$4.528,84",1796,"R$55,23",0,"R$0,00",8,18,42,44,46,49,0,"R$0,00",26,"R$4.006,28",2088,"R$47,51",0,"R$0,00",Não,"R$2.253.637,00","R$300.000,00","R$0,00","O PRÊMIO DA SENA DO 2º SORTEIO (R$ 138.884,41) FICA ACUMULADO PARA A SENA DO 1º SORTEIO DO PRÓXIMO CONCURSO"
1328,1329,31/10/2014,1,10,13,24,36,50,0,,"R$0,00",83,"R$1.600,63",2915,"R$30,38",0,"R$0,00",3,5,14,27,34,38,0,"R$0,00",34,"R$2.735,21",2017,"R$43,91",0,"R$0,00",Sim,"R$2.012.044,00","R$700.000,00","R$0,00",
1329,1330,04/11/2014,10,12,13,32,38,50,0,,"R$0,00",25,"R$3.932,49",1748,"R$53,56",0,"R$0,00",10,11,23,30,47,50,0,"R$0,00",32,"R$3.072,25",1860,"R$50,33",0,"R$0,00",Sim,"R$2.127.041,00","R$1.000.000,00","R$0,00",
1330,1331,07/11/2014,1,12,28,31,36,38,0,,"R$0,00",13,"R$7.897,31",1377,"R$71,00",0,"R$0,00",5,7,23,28,39,44,0,"R$0,00",41,"R$2.504,02",2141,"R$45,66",0,"R$0,00",Sim,"R$2.221.219,00","R$1.300.000,00","R$0,00",
1331,1332,11/11/2014,5,19,22,28,37,45,0,CAMAQUÃ/RS,"R$0,00",62,"R$1.783,09",2779,"R$37,88",0,"R$0,00",8,18,33,39,40,42,1,"R$147.401,80",55,"R$2.010,03",1970,"R$53,44",0,"R$0,00",Sim,"R$2.391.846,00","R$1.700.000,00","R$0,00",
1332,1333,14/11/2014,6,12,15,25,36,47,0,DUQUE DE CAXIAS/RJ,"R$0,00",40,"R$2.710,17",2288,"R$45,12",0,"R$0,00",2,6,9,15,17,50,1,"R$144.542,56",49,"R$2.212,39",2323,"R$44,44",0,"R$0,00",Sim,"R$2.345.450,00","R$1.800.000,00","R$0,00",
1333,1334,18/11/2014,16,24,29,39,44,46,0,,"R$0,00",46,"R$2.394,56",2314,"R$45,33",0,"R$0,00",7,15,21,22,29,46,0,"R$0,00",47,"R$2.343,61",2150,"R$48,79",0,"R$0,00",Sim,"R$2.383.155,00","R$2.200.000,00","R$0,00",
1334,1335,21/11/2014,2,10,20,27,40,48,0,,"R$0,00",41,"R$2.943,43",1992,"R$57,69",0,"R$0,00",5,20,22,34,45,46,0,"R$0,00",35,"R$3.448,02",2095,"R$54,86",0,"R$0,00",Sim,"R$2.611.000,00","R$2.600.000,00","R$0,00",
1335,1336,25/11/2014,12,18,24,28,30,41,0,,"R$0,00",37,"R$3.626,53",2418,"R$52,85",0,"R$0,00",7,10,15,18,28,50,0,"R$0,00",34,"R$3.946,52",2568,"R$49,76",0,"R$0,00",Sim,"R$2.903.101,00","R$3.100.000,00","R$0,00",
1336,1337,28/11/2014,4,17,20,21,29,48,0,PATO BRANCO/PR,"R$0,00",60,"R$2.745,11",3240,"R$48,41",0,"R$0,00",15,22,33,38,43,49,1,"R$219.608,80",65,"R$2.533,95",3329,"R$47,12",0,"R$0,00",Sim,"R$3.563.528,00","R$3.500.000,00","R$0,00",
1337,1338,02/12/2014,1,7,9,39,42,45,0,VITÓRIA DA CONQUISTA/BA,"R$0,00",57,"R$3.065,47",3428,"R$48,54",0,"R$0,00",4,11,19,21,22,23,1,"R$232.975,16",76,"R$2.299,10",3455,"R$48,16",0,"R$0,00",Sim,"R$3.780.420,00","R$3.900.000,00","R$0,00",
1338,1339,05/12/2014,2,4,13,16,31,39,0,,"R$0,00",48,"R$3.765,20",3249,"R$52,97",0,"R$0,00",4,7,10,16,30,44,0,"R$0,00",70,"R$2.581,85",3350,"R$51,38",0,"R$0,00",Sim,"R$3.910.192,00","R$4.500.000,00","R$0,00",
1339,1340,09/12/2014,21,24,26,33,34,36,0,CAMPINAS/SP,"R$0,00",61,"R$3.037,59",2688,"R$65,65",0,"R$0,00",5,18,23,26,27,37,1,"R$247.057,31",65,"R$2.850,66",4098,"R$43,06",0,"R$0,00",Sim,"R$4.008.927,00","R$5.000.000,00","R$0,00",
1340,1341,12/12/2014,14,26,32,35,39,50,1,INHAPIM/MG,"R$4.848.799,08",66,"R$3.208,22",3886,"R$51,89",0,"R$0,00",2,13,14,29,38,45,0,"R$0,00",89,"R$2.379,14",4435,"R$45,47",0,"R$0,00",Não,"R$4.581.186,00","R$500.000,00","R$0,00","O PRÊMIO DA SENA DO 2º SORTEIO (R$ 282.323,80) FICA ACUMULADO PARA A SENA DO 1º SORTEIO DO PRÓXIMO CONCURSO."
1341,1342,16/12/2014,5,7,16,24,27,50,0,,"R$0,00",24,"R$4.173,90",2396,"R$39,81",0,"R$0,00",2,10,34,40,42,45,0,"R$0,00",35,"R$2.862,10",1620,"R$58,89",0,"R$0,00",Sim,"R$2.167.317,00","R$800.000,00","R$0,00",
1342,1343,19/12/2014,3,9,12,14,47,48,0,,"R$0,00",53,"R$2.111,48",2483,"R$42,92",0,"R$0,00",10,26,31,33,34,49,0,"R$0,00",37,"R$3.024,56",1767,"R$60,31",0,"R$0,00",Sim,"R$2.421.209,00","R$1.300.000,00","R$0,00",
1343,1344,23/12/2014,7,19,23,24,37,39,0,,"R$0,00",51,"R$2.240,61",2582,"R$42,14",0,"R$0,00",3,5,27,29,31,46,0,"R$0,00",48,"R$2.380,64",2456,"R$44,31",0,"R$0,00",Sim,"R$2.472.318,00","R$1.700.000,00","R$0,00",
1344,1345,26/12/2014,4,14,15,31,33,49,0,,"R$0,00",38,"R$2.617,72",1803,"R$52,54",0,"R$0,00",15,24,31,32,37,41,0,"R$0,00",28,"R$3.552,62",1445,"R$65,56",0,"R$0,00",Sim,"R$2.152.167,00","R$2.000.000,00","R$0,00",
1345,1346,30/12/2014,1,21,25,29,42,49,1,Sorocaba/SP,"R$1.931.956,26",38,"R$3.029,10",1887,"R$58,09",0,"R$0,00",3,4,9,19,23,42,0,"R$0,00",44,"R$2.616,04",2737,"R$40,05",0,"R$0,00",Não,"R$2.490.386,00","R$300.000,00","R$0,00","O PRÊMIO DA SENA DO 2º SORTEIO (R$ 153.474,50) FICA ACUMULADO PARA A SENA DO 1º SORTEIO DO PRÓXIMO CONCURSO."
1346,1347,02/01/2015,11,31,38,46,49,50,0,,"R$0,00",12,"R$6.047,63",1034,"R$66,84",0,"R$0,00",5,14,19,31,38,39,0,"R$0,00",20,"R$3.628,58",1242,"R$55,64",0,"R$0,00",Sim,"R$1.570.130,00","R$600.000,00","R$0,00",
1347,1348,06/01/2015,21,23,30,32,33,35,0,,"R$0,00",28,"R$3.761,75",1397,"R$71,80",0,"R$0,00",6,9,10,11,21,22,0,"R$0,00",61,"R$1.726,71",2243,"R$44,72",0,"R$0,00",Sim,"R$2.278.857,00","R$1.000.000,00","R$0,00",
1348,1349,09/01/2015,9,16,18,24,33,42,0,,"R$0,00",57,"R$2.241,17",2859,"R$42,55",0,"R$0,00",17,19,34,37,48,49,0,"R$0,00",56,"R$2.281,20",2722,"R$44,69",0,"R$0,00",Sim,"R$2.763.885,00","R$1.500.000,00","R$0,00",
1349,1350,13/01/2015,2,30,35,39,42,48,0,,"R$0,00",26,"R$5.075,63",2131,"R$58,97",0,"R$0,00",21,24,25,27,35,48,0,"R$0,00",40,"R$3.299,16",2270,"R$55,36",0,"R$0,00",Sim,"R$2.855.171,00","R$2.000.000,00","R$0,00",
1350,1351,16/01/2015,2,11,20,31,35,44,0,,"R$0,00",26,"R$5.312,00",2121,"R$62,01",0,"R$0,00",2,14,28,36,38,48,0,"R$0,00",47,"R$2.938,56",2500,"R$52,61",0,"R$0,00",Sim,"R$2.988.139,00","R$2.400.000,00","R$0,00",
1351,1352,20/01/2015,1,7,8,29,33,50,0,,"R$0,00",47,"R$2.919,45",2722,"R$48,00",0,"R$0,00",6,7,15,22,27,43,0,"R$0,00",41,"R$3.346,68",2893,"R$45,17",0,"R$0,00",Sim,"R$2.968.710,00","R$2.800.000,00","R$0,00",
1352,1353,23/01/2015,4,8,11,25,29,30,0,,"R$0,00",66,"R$2.342,32",3389,"R$43,44",0,"R$0,00",2,9,16,20,21,35,0,"R$0,00",73,"R$2.117,71",2915,"R$50,50",0,"R$0,00",Sim,"R$3.344.721,00","R$3.400.000,00","R$0,00",
1353,1354,27/01/2015,12,22,25,30,41,44,0,FEIRA DE SANTANA/BA,"R$0,00",45,"R$4.041,99",3048,"R$56,83",0,"R$0,00",7,30,31,37,42,45,1,"R$242.519,42",52,"R$3.497,88",3043,"R$56,92",0,"R$0,00",Sim,"R$3.935.292,00","R$3.800.000,00","R$0,00",
1354,1355,30/01/2015,4,10,22,24,32,38,0,,"R$0,00",50,"R$3.981,37",3178,"R$59,65",0,"R$0,00",10,16,31,38,41,44,0,"R$0,00",72,"R$2.764,84",3148,"R$60,22",0,"R$0,00",Sim,"R$4.306.974,00","R$4.500.000,00","R$0,00",
1355,1356,03/02/2015,4,16,21,45,46,47,0,,"R$0,00",69,"R$3.001,46",3775,"R$52,24",0,"R$0,00",16,33,34,36,43,46,0,"R$0,00",62,"R$3.340,33",3519,"R$56,04",0,"R$0,00",Sim,"R$4.480.750,00","R$5.000.000,00","R$0,00",
1356,1357,06/02/2015,6,15,20,30,35,50,0,"CEREJEIRAS/RO; 
SÃO PAULO/SP","R$0,00",71,"R$3.337,65",4041,"R$55,84",0,"R$0,00",5,12,21,28,33,34,2,"R$157.981,79",108,"R$2.194,19",4911,"R$45,95",0,"R$0,00",Sim,"R$5.127.049,00","R$5.900.000,00","R$0,00",
1357,1358,10/02/2015,5,9,21,33,43,47,1,GRAVATAÍ/RS,"R$5.754.179,79",138,"R$1.874,30",5215,"R$47,23",0,"R$0,00",20,31,35,40,46,49,0,"R$0,00",54,"R$4.789,87",3732,"R$66,00",0,"R$0,00",Não,"R$5.596.107,00","R$500.000,00","R$0,00",
1358,1359,13/02/2015,1,5,7,11,21,42,0,JAGUARIUNA/SP,"R$0,00",64,"R$1.918,50",3154,"R$37,07",0,"R$0,00",15,18,27,35,36,47,1,"R$163.712,13",61,"R$2.012,85",2551,"R$45,83",0,"R$0,00",Sim,"R$2.656.509,00","R$900.000,00","R$0,00",
1359,1360,18/02/2015,14,19,21,27,44,49,1,SÃO LUIS/MA,"R$709.610,80",38,"R$1.568,06",1447,"R$39,21",0,"R$0,00",12,15,17,23,34,35,0,"R$0,00",23,"R$2.590,70",1259,"R$45,07",0,"R$0,00",Não,"R$1.289.185,00","R$250.000,00","R$0,00","O PRÊMIO DA SENA DO 2º SORTEIO (R$ 79.448,33) FICA ACUMULADO PARA A SENA DO 1º SORTEIO DO PRÓXIMO CONCURSO."
1360,1361,20/02/2015,14,15,19,25,44,47,0,,"R$0,00",34,"R$2.797,37",1927,"R$47,00",0,"R$0,00",3,8,10,18,32,37,0,"R$0,00",30,"R$3.170,36",1649,"R$54,93",0,"R$0,00",Sim,"R$2.057.778,00","R$600.000,00","R$0,00",
1361,1362,24/02/2015,2,8,23,39,42,46,1,"CAMPINAS/SP; 
SÃO PAULO/SP","R$619.911,79",54,"R$2.068,78",2318,"R$45,89",0,"R$0,00",7,11,18,33,39,42,1,"R$148.951,89",71,"R$1.573,44",3077,"R$34,57",0,"R$0,00",Não,"R$2.416.999,00","R$200.000,00","R$0,00",
1362,1363,27/02/2015,2,3,20,44,45,50,0,,"R$0,00",32,"R$3.110,65",1726,"R$54,92",0,"R$0,00",2,3,12,25,44,46,0,"R$0,00",36,"R$2.765,03",1950,"R$48,61",0,"R$0,00",Sim,"R$2.153.626,00","R$600.000,00","R$0,00",
1363,1364,03/03/2015,3,31,37,40,43,49,0,,"R$0,00",49,"R$2.221,36",1736,"R$59,71",0,"R$0,00",4,14,21,30,45,50,0,"R$0,00",37,"R$2.941,81",1965,"R$52,75",0,"R$0,00",Sim,"R$2.354.969,00","R$1.000.000,00","R$0,00",
1364,1365,06/03/2015,2,10,19,41,45,47,0,,"R$0,00",34,"R$3.789,17",2498,"R$49,11",0,"R$0,00",1,2,28,29,33,43,0,"R$0,00",39,"R$3.303,38",1919,"R$63,93",0,"R$0,00",Sim,"R$2.787.353,00","R$1.500.000,00","R$0,00",
1365,1366,10/03/2015,7,14,20,21,39,41,0,,"R$0,00",47,"R$2.652,64",2280,"R$52,07",0,"R$0,00",10,28,35,41,44,46,0,"R$0,00",35,"R$3.562,12",2148,"R$55,27",0,"R$0,00",Sim,"R$2.697.400,00","R$1.900.000,00","R$0,00",
1366,1367,13/03/2015,7,28,39,44,45,49,0,,"R$0,00",53,"R$2.712,54",2874,"R$47,64",0,"R$0,00",15,21,30,31,33,47,0,"R$0,00",48,"R$2.995,09",2520,"R$54,33",0,"R$0,00",Sim,"R$3.110.433,00","R$2.400.000,00","R$0,00",
1367,1368,17/03/2015,10,13,17,39,43,48,0,"TELEMACO BORBA/PR; 
SANTO ANDRÉ/SP","R$0,00",70,"R$2.338,07",3476,"R$44,84",0,"R$0,00",30,33,37,43,45,47,2,"R$109.109,84",81,"R$2.020,55",3486,"R$44,71",0,"R$0,00",Sim,"R$3.540.987,00","R$2.800.000,00","R$0,00",
1368,1369,20/03/2015,15,23,26,30,33,39,0,,"R$0,00",34,"R$5.042,85",3040,"R$53,71",0,"R$0,00",4,14,16,20,23,30,0,"R$0,00",45,"R$3.810,15",2715,"R$60,14",0,"R$0,00",Sim,"R$3.709.572,00","R$3.300.000,00","R$0,00",
1369,1370,24/03/2015,15,28,38,43,45,49,1,SÃO PAULO/SP,"R$3.257.802,35",65,"R$2.616,08",3576,"R$45,28",0,"R$0,00",5,18,21,29,40,43,0,"R$0,00",53,"R$3.208,40",3056,"R$52,99",0,"R$0,00",Não,"R$3.679.032,00","R$500.000,00","R$0,00","O ACUMULADO DA SENA DO 2ºSORTEIO (R$ 226.726,94) FICA ACUMULADO PARA SENA DO 1º SORTEIO."
1370,1371,27/03/2015,15,21,23,31,32,35,0,,"R$0,00",31,"R$3.393,42",1809,"R$55,38",0,"R$0,00",10,11,16,18,21,35,0,"R$0,00",44,"R$2.390,82",1829,"R$54,77",0,"R$0,00",Sim,"R$2.275.981,00","R$850.000,00","R$0,00",
1371,1372,31/03/2015,23,33,35,41,46,48,0,,"R$0,00",40,"R$2.707,91",2235,"R$46,15",0,"R$0,00",2,5,6,15,24,25,0,"R$0,00",45,"R$2.407,03",2363,"R$43,65",0,"R$0,00",Sim,"R$2.343.493,00","R$1.200.000,00","R$0,00",
1372,1373,02/04/2015,5,15,40,42,47,50,0,BETIM/MG,"R$0,00",22,"R$3.351,84",1151,"R$61,01",0,"R$0,00",6,13,26,33,39,46,1,"R$98.320,74",36,"R$2.048,35",1660,"R$42,30",0,"R$0,00",Sim,"R$1.595.422,00","R$1.300.000,00","R$0,00",
1373,1374,07/04/2015,4,13,26,32,45,49,0,,"R$0,00",84,"R$1.407,16",3350,"R$33,60",0,"R$0,00",1,3,9,10,36,50,0,"R$0,00",57,"R$2.073,71",3161,"R$35,61",0,"R$0,00",Sim,"R$2.557.360,00","R$1.800.000,00","R$0,00",
1374,1375,10/04/2015,2,3,12,34,44,47,0,,"R$0,00",55,"R$2.252,42",2562,"R$46,05",0,"R$0,00",1,8,12,20,35,49,0,"R$0,00",40,"R$3.097,07",2186,"R$53,97",0,"R$0,00",Sim,"R$2.680.280,00","R$2.100.000,00","R$0,00",
1375,1376,14/04/2015,1,5,19,29,39,49,1,BRASÍLIA/DF,"R$2.177.368,49",65,"R$2.188,50",2748,"R$49,30",0,"R$0,00",1,5,16,34,35,43,0,"R$0,00",39,"R$3.647,49",2674,"R$50,66",0,"R$0,00",Não,"R$3.077.717,00","R$400.000,00","R$0,00","O ACUMULADO DA SENA DO 2º SORTEIO (R$ 189.669,83) FICA ACUMULADO PARA A SENA DO 1º SORTEIO"
1376,1377,17/04/2015,6,15,21,27,38,48,0,,"R$0,00",34,"R$2.971,05",1604,"R$59,97",0,"R$0,00",3,19,23,29,33,41,0,"R$0,00",31,"R$3.258,57",1826,"R$52,68",0,"R$0,00",Sim,"R$2.185.535,00","R$800.000,00","R$0,00",
1377,1378,22/04/2015,4,13,14,24,28,36,0,,"R$0,00",32,"R$2.429,96",1702,"R$43,51",0,"R$0,00",20,23,28,39,49,50,0,"R$0,00",23,"R$3.380,82",1293,"R$57,27",0,"R$0,00",Sim,"R$1.682.360,00","R$1.000.000,00","R$0,00",
1378,1379,24/04/2015,8,10,30,39,46,49,0,,"R$0,00",28,"R$3.541,47",1397,"R$67,60",0,"R$0,00",3,22,23,34,45,46,0,"R$0,00",33,"R$3.004,89",2013,"R$46,91",0,"R$0,00",Sim,"R$2.145.412,00","R$1.400.000,00","R$0,00",
1379,1380,28/04/2015,1,9,13,28,30,31,0,,"R$0,00",42,"R$2.902,49",2309,"R$50,28",0,"R$0,00",17,27,29,30,36,46,0,"R$0,00",29,"R$4.203,61",1678,"R$69,18",0,"R$0,00",Sim,"R$2.637.480,00","R$1.800.000,00","R$0,00",
1380,1381,30/04/2015,1,2,12,25,39,42,0,"SALVADOR/BA; 
BRASÍLIA/DF","R$0,00",29,"R$2.984,23",1612,"R$51,12",0,"R$0,00",7,24,29,33,42,47,2,"R$57.695,06",65,"R$1.331,43",2471,"R$33,35",0,"R$0,00",Sim,"R$1.872.402,00","R$2.000.000,00","R$0,00",
1381,1382,05/05/2015,6,15,34,37,40,49,0,,"R$0,00",47,"R$2.881,86",2248,"R$57,38",0,"R$0,00",3,5,19,20,21,23,0,"R$0,00",54,"R$2.508,28",3555,"R$36,28",0,"R$0,00",Sim,"R$2.930.482,00","R$2.500.000,00","R$0,00",
1382,1383,08/05/2015,15,19,21,31,36,42,0,,"R$0,00",54,"R$2.885,66",2925,"R$50,73",0,"R$0,00",1,3,24,31,35,42,0,"R$0,00",47,"R$3.315,44",2621,"R$56,62",0,"R$0,00",Sim,"R$3.371.380,00","R$3.000.000,00","R$0,00",
1383,1384,12/05/2015,21,23,35,41,45,50,0,,"R$0,00",72,"R$2.463,47",3486,"R$48,45",0,"R$0,00",6,12,20,34,41,44,0,"R$0,00",58,"R$3.058,11",2974,"R$56,80",0,"R$0,00",Sim,"R$3.837.511,00","R$3.700.000,00","R$0,00",
1384,1385,15/05/2015,2,27,28,36,46,47,0,BRASÍLIA/DF,"R$0,00",118,"R$1.640,29",3389,"R$54,39",0,"R$0,00",2,7,13,14,16,21,1,"R$258.072,36",88,"R$2.199,48",4286,"R$43,00",0,"R$0,00",Sim,"R$4.187.665,00","R$4.100.000,00","R$0,00",
